flight_id,delay
385cc3cb,07:25
385cd64b,09:03
385ce253,16:42
385cfdb5,09:36
385cfe0f,08:43
385d0067,22:54
385d09bd,20:34
385d0f97,17:27
385d10f0,17:31
385d1c7b,22:56
385d23b8,07:04
385d2572,17:03
385d2bf8,11:05
385d30eb,06:49
385d31a8,17:03
385d3691,22:08
385d373a,07:45
385d38fd,16:21
385d3923,15:32
385d3b37,11:38
385d3b6c,19:22
385d3bb1,07:49
385d3d41,14:31
385d401e,20:01
385d418c,08:02
385d454b,06:44
385d471b,17:10
385d4cb7,18:08
385d52a6,22:49
385d57eb,07:21
385d58f1,15:11
385d5c71,23:45
385d5cc3,18:12
385d5d82,15:33
385d64ce,20:35
385d683f,23:34
385d6a54,18:38
385d7741,16:54
385d7831,01:53
385d7c69,01:18
385d7d15,00:40
385d8008,19:05
385d8446,18:40
385d84d1,23:05
385d8507,23:36
385d8540,16:40
385d8580,15:00
385d85da,11:50
385d8650,02:01
385d876c,18:57
385d87c7,02:57
385d88ec,13:13
385d8c5c,01:31
385d8c82,16:45
385d8d13,22:38
385d8d4f,22:31
385d8df7,16:11
385d8f0c,16:15
385d9122,02:16
385d94cf,17:36
385d9511,15:03
385d95e9,01:43
385d9696,22:41
385d9792,01:44
385d97b6,23:08
385d98ac,16:00
385d9c67,17:32
385d9dbf,03:39
385d9de8,09:44
385d9e37,06:01
385da076,07:16
385da08b,23:08
385da101,19:48
385da1bd,05:13
385da1e1,22:28
385da3c2,14:32
385da5a1,23:30
385da728,16:09
385da73b,21:41
385da7e7,06:21
385da7fd,02:29
385da82e,23:47
385da85f,08:31
385da899,22:50
385daa19,15:47
385daab0,16:44
385dabfe,23:57
385dad17,21:30
385dadab,22:32
385db081,18:08
385db09e,12:04
385db0c3,08:40
385db0ed,11:17
385db1b6,18:57
385db1c5,02:05
385db1cf,19:18
385db27e,15:32
385db340,22:00
385db392,04:43
385db417,01:10
385db4c6,05:57
385db4c8,01:33
385db564,03:05
385db599,05:40
385db5cc,23:35
385db63b,14:21
385db6ac,06:06
385db74a,23:10
385db76e,16:59
385db7d2,19:18
385db820,06:17
385db97c,14:16
385dba7c,12:36
385dba98,22:32
385dba9c,17:13
385dbac5,22:51
385dbac8,12:53
385dbb1f,20:10
385dbd44,00:19
385dbf21,19:51
385dbf37,03:35
385dbf5d,22:41
385dbf94,19:36
385dbfcf,22:54
385dbfe8,23:03
385dc05a,02:03
385dc0cf,15:54
385dc176,07:44
385dc1f5,12:22
385dc25e,17:57
385dc2ca,12:37
385dc2f6,03:52
385dc301,11:09
385dc31d,05:37
385dc350,22:32
385dc392,15:06
385dc3b5,18:40
385dc3d1,23:22
385dc440,16:23
385dc590,21:58
385dc645,03:01
385dc6be,06:31
385dc6cd,21:44
385dc710,21:58
385dc71d,18:43
385dc849,12:01
385dc916,15:18
385dc9aa,07:14
385dca77,05:14
385dcab6,13:17
385dcaec,10:29
385dcb57,11:31
385dcc26,17:17
385dccc2,20:17
385dcd54,23:08
385dcded,14:05
385dcdf3,06:09
385dce1b,12:53
385dce54,17:38
385dce67,06:57
385dceb3,16:49
385dcf60,21:32
385dcf97,04:37
385dcfae,20:53
385dcfd5,08:43
385dcfe0,23:04
385dcfed,07:36
385dd065,21:08
385dd07c,00:17
385dd10b,15:56
385dd134,21:56
385dd230,20:10
385dd260,21:38
385dd34d,20:01
385dd366,22:55
385dd436,15:40
385dd6bc,06:34
385dd6f3,22:42
385dd78f,23:53
385dd7db,09:55
385dd7e6,22:49
385dd8bc,21:10
385dd8c9,10:47
385dd902,15:36
385dda38,20:10
385dda80,16:53
385ddb95,15:22
385ddc47,15:23
385ddca4,23:36
385ddcd7,20:42
385ddd62,02:48
385dddcb,23:02
385dde1d,07:06
385dde5b,12:14
385dde89,19:45
385dded5,13:14
385ddf59,23:47
385ddf79,18:44
385de0b2,23:11
385de0b8,22:59
385de175,07:01
385de1a9,03:35
385de1e3,05:36
385de289,18:57
385de29b,22:23
385de2d1,22:46
385de2fe,02:08
385de330,11:11
385de3bd,15:38
385de3f9,08:49
385de43c,00:50
385de45c,20:10
385de523,20:19
385de53d,10:58
385de56c,23:04
385de5d1,18:06
385de688,08:45
385de791,11:53
385de833,22:59
385de990,18:40
385dea09,22:32
385dea2f,09:10
385dead5,00:14
385deb94,16:36
385deba9,12:12
385debfd,12:33
385dec6f,09:44
385dece3,14:20
385ded72,18:06
385ded9d,15:56
385dedf9,22:53
385dee10,23:19
385dee7f,17:08
385deeae,13:44
385deedb,21:03
385def4b,01:53
385deff2,00:59
385df008,17:46
385df053,10:02
385df06d,18:48
385df140,17:36
385df1b2,00:42
385df23a,06:09
385df29b,15:59
385df34a,17:15
385df389,19:38
385df3e2,15:13
385df3f0,16:29
385df3f9,12:23
385df3fd,19:45
385df413,22:44
385df434,12:41
385df543,00:18
385df546,20:20
385df54f,22:02
385df5c7,17:25
385df605,11:21
385df626,17:50
385df62b,14:11
385df66a,16:26
385df68b,03:44
385df6ef,14:50
385df7ad,17:13
385df7d3,23:53
385df7eb,07:17
385df7f7,18:57
385df839,00:46
385df892,15:10
385df997,01:40
385df9c3,07:42
385df9c9,06:30
385dfa3d,16:21
385dfa8d,23:22
385dfabe,14:48
385dfac7,19:04
385dfacc,08:29
385dfacf,23:21
385dfae5,21:01
385dfafc,18:12
385dfaff,17:44
385dfb8a,18:14
385dfb99,00:42
385dfc05,06:13